sirket_adi,kap_id,api_url
"Yapı Ve Kredi Bankası A.Ş.","4028e4a240f2ef4c01412ae6d6630538","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c01412ae6d6630538/ODA/365"
"Arçelik A.Ş.","4028e4a240e95dc90140ed55b43900cf","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240e95dc90140ed55b43900cf/ODA/365"
"Bulls  Yatırım Menkul Değerler A.Ş.","4028e4a2415f4f8401415ffac5a034a9","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a2415f4f8401415ffac5a034a9/ODA/365"
"Mint Finansman A.Ş.","8acae2c4998f24d8019a0586000256ef","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c4998f24d8019a0586000256ef/ODA/365"
"Altınkılıç Gıda Ve Süt Sanayi Ticaret A.Ş.","8acae2c48c3efac0018fabe7ce965048","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c48c3efac0018fabe7ce965048/ODA/365"
"Yapı Kredi Yatırım Menkul Değerler A.Ş.","4028e4a240f2ef4c01412ae47c99052d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240f2ef4c01412ae47c99052d/ODA/365"
"Ak Yatırım Menkul Değerler A.Ş.","4028e4a240e8d16e0140e8f3d0fe0047","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240e8d16e0140e8f3d0fe0047/ODA/365"
"Ereğli Tekstil Turizm Sanayi Ve Ticaret A.Ş.","4028e4a24337209001434898a6893468","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a24337209001434898a6893468/ODA/365"
"Otosor Otomotiv A.Ş.","8acae2c486d22a3b018b041f67b641d2","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c486d22a3b018b041f67b641d2/ODA/365"
"Carrefoursa Carrefour Sabancı Ticaret Merkezi A.Ş.","4028e4a140ee35c00140ee56930f0024","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a140ee35c00140ee56930f0024/ODA/365"
"Trıve Yatırım Menkul Değerler A.Ş.","4028e4a2416f888d01416f9bd89f0453","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a2416f888d01416f9bd89f0453/ODA/365"
"Tiryaki Agro Gıda Sanayi Ve Ticaret A.Ş.","1DE05DAA8408073AE0530A4A622A2EBD","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/1DE05DAA8408073AE0530A4A622A2EBD/ODA/365"
"Smart  Güneş  Enerjisi Teknolojileri  Araştırma Geliştirme  Üretim  Sanayi Ve Ticaret A.Ş.","8acae2c47d3bee4e017f49ce882e7b01","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c47d3bee4e017f49ce882e7b01/ODA/365"
"Erciyas Çelik Boru San. A.Ş.","2af53003ee3c4464b0b653225816518d","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/2af53003ee3c4464b0b653225816518d/ODA/365"
"A1 Capıtal Yatırım Menkul Değerler A.Ş.","4028e4a1416e696301416f37201c5f2e","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a1416e696301416f37201c5f2e/ODA/365"
"Timur Gayrimenkul Geliştirme Yapı Ve Yatırım A.Ş.","1DE05DAA8407073AE0530A4A622A2EBD","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/1DE05DAA8407073AE0530A4A622A2EBD/ODA/365"
"Pınar Entegre Et Ve Un Sanayii A.Ş.","4028e4a240ee866c0140f1f7b3990027","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a240ee866c0140f1f7b3990027/ODA/365"
"Investaz Yatırım Menkul Değerler A.Ş.","4028e4a14184e9cf0141934f00662c2e","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a14184e9cf0141934f00662c2e/ODA/365"
"Eıp Eczacıbası Ilac Pazarlama Anonım Sırketı","4028e4a2462cc71d014694521292040f","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/4028e4a2462cc71d014694521292040f/ODA/365"
"Derlüks Yatırım Holding A.Ş.","8acae2c469cee2a4016a5492160c43c3","https://www.kap.org.tr/tr/api/company-detail/sgbf-data/8acae2c469cee2a4016a5492160c43c3/ODA/365"
